Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Coclé;Ley 45 de 2007;28-ene-2025;Ene 25;Incumplimiento de garantía;HAYAT;Mueblería/equipo electrónico;No se Registro;Estufa;320.00;En proceso;;;;;2025
Vehículo a Motor;Colón;Ley 14 de 2018;17-ene-2025;Ene 25;Incumplimiento de garantía;MOTORES DE CENTROAMERICA, S.A.;Agencia de autos;Volkswagen;Automóvil;24,500.00;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;17-ene-2025;Ene 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;69.38;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;17-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Almacén por departamentos;Lenovo;Laptop;300.00;Desistimiento;;21-abr-2025;Abr 25;2025;2025
Decisión;Colón;Ley 45 de 2007;21-ene-2025;Ene 25;Falta de información;CASA TIGRITOS SD;Cursos especializados (karate,cocina,seminario,etc);No se Registro;No se Registro;150.00;Acuerdo/Devolución;;06-nov-2025;Nov 25;2025;2025
Decisión;Colón;Ley 45 de 2007;22-ene-2025;Ene 25;Incumplimiento de garantía;COMFY ( DEPORTIVE STORE, S.A.);Almacén por departamentos;No se Registro;Estufa;320.95;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;23-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Almacén por departamentos;LG;Estufa;924.48;Acuerdo/Reparación;;27-jun-2025;Jun 25;2025;2025
Decisión;Chiriquí;Ley 45 de 2007;03-ene-2025;Ene 25;Incumplimiento de garantía;HEPS CARBONE;Ferreterías, materiales de construccion o similares;No se Registro;No se Registro;190.04;En proceso;;;;;2025
Vehículo a Motor;Chiriquí;Ley 14 de 2018;16-ene-2025;Ene 25;Incumplimiento de garantía;PETROAUTOS, S.A.;Agencia de autos;Jetour;Automóvil;26,214.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;03-ene-2025;Ene 25;Devolución de dinero;LAMBDA PROMOCIONES INMOBILIARIA, S.A;Inmobiliarias;No se Registro;No se Registro;450.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;03-ene-2025;Ene 25;Devolución de dinero;PROMOCIONES VIA BOQUETE S.A.;Inmobiliarias;No se Registro;No se Registro;295.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;03-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Telefonia;No se Registro;No se Registro;44.50;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;03-ene-2025;Ene 25;Incumplimiento de garantía;EL PUNTO PODEROSO S.A;Almacén por departamentos;Sankey;Lavadora;149.99;Desistimiento;;15-sep-2025;Sep 25;2025;2025
Decisión;Chiriquí;Ley 45 de 2007;07-ene-2025;Ene 25;Devolución de dinero;MOVIL SHOP;Celulares;Iphone;Celular;267.50;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;07-ene-2025;Ene 25;Devolución de dinero;INMOBILIARIA GRUPO OH, S.A.;Inmobiliarias;No se Registro;No se Registro;2,300.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;07-ene-2025;Ene 25;Devolución de dinero;ACADEMIA DORAZ;Escuelas / colegio;No se Registro;No se Registro;100.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;08-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;No se Registro;Refrigeradora;469.75;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;10-ene-2025;Ene 25;Resolución de contrato;DECAMERON;Hoteles o planes vacacionales;No se Registro;No se Registro;3,590.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;10-ene-2025;Ene 25;Devolución de dinero;MARKET ESCALA;Transporte (fletes, encomiendas y similares);No se Registro;No se Registro;5.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;16-ene-2025;Ene 25;Resolución de contrato;BELLA VISTA PROMOCIONES INMOBILIARIAS, S.A.;Inmobiliarias;No se Registro;Vivienda;600.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;21-ene-2025;Ene 25;Nota de crédito;LAS LOMAS DEVELOPMENT S.A.;Inmobiliarias;No se Registro;Vivienda;800.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;21-ene-2025;Ene 25;Devolución de dinero;OPTICA VISION CENTER;Opticas;No se Registro;No se Registro;104.86;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;27-ene-2025;Ene 25;Incumplimiento de garantía;DO IT CENTER;Almacén por departamentos;Nisato;Refrigeradora;534.99;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;27-ene-2025;Ene 25;Incumplimiento de garantía;HEPS CARBONE;Almacén por departamentos;No se Registro;Scooter;2,365.79;Desistimiento;;24-jul-2025;Jul 25;2025;2025
Decisión;Chiriquí;Ley 45 de 2007;28-ene-2025;Ene 25;Incumplimiento de garantía;GERALDINE MALL;Celulares;No se Registro;No se Registro;15.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;29-ene-2025;Ene 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;37.11;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;08-ene-2025;Ene 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;20.00;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;08-ene-2025;Ene 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;28.34;Desistimiento;;24-sep-2025;Sep 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;20-ene-2025;Ene 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;26.32;Desistimiento;;24-sep-2025;Sep 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;21-ene-2025;Ene 25;Rescindir contrato;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;26.00;Desistimiento;;04-jul-2025;Jul 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;22-ene-2025;Ene 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;24.00;Desistimiento;;04-jul-2025;Jul 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;22-ene-2025;Ene 25;Incumplimiento de contrato;AUTOTODO PTY;Repuestos para autos;No se Registro;No se Registro;220.00;Desistimiento;;28-feb-2025;Feb 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;28-ene-2025;Ene 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;20.00;Desistimiento;;24-sep-2025;Sep 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;31-ene-2025;Ene 25;Rescindir contrato;TIGO PANAMÁ;Telefonia;No se Registro;No se Registro;24.21;Desistimiento;;24-sep-2025;Sep 25;2025;2025
Decisión;Los Santos;Ley 45 de 2007;28-ene-2025;Ene 25;Daños y perjuicios;UNIVERSIDAD ESPECIALIZADA DE LAS AMERICAS (UDELAS);Universidad;No se Registro;No se Registro;2,447.00;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;02-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Telefonia;No se Registro;No se Registro;28.04;Acuerdo en audiencia/Varios;;17-jun-2025;Jun 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;08-ene-2025;Ene 25;Incumplimiento de garantía;RELOJIN;Joyería/Relojerías;Sketchers;Reloj;42.75;Desistimiento;;11-jun-2025;Jun 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;14-ene-2025;Ene 25;Falta de información;INMOBILIARIA CASAS FUTURAS, S.A.;Inmobiliarias;No se Registro;Vivienda;4,760.00;Desistimiento;;09-jul-2025;Jul 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Televisor;695.45;Desistimiento;;11-jun-2025;Jun 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;15-ene-2025;Ene 25;Daños y perjuicios;A.G. HOLDING & COMMERCIAL CORP, S.A.;Inmobiliarias;No se Registro;Vivienda;403.97;Acuerdo en audiencia/Varios;;11-ago-2025;Ago 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;22-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Comunicaciones / internet;No se Registro;No se Registro;19.73;Acuerdo en audiencia/Varios;;05-jun-2025;Jun 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;22-ene-2025;Ene 25;Falta de información;PANAFOTO;Almacén por departamentos;No se Registro;No se Registro;32.10;Desistimiento/Devolución;32.10;11-ago-2025;Ago 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;23-ene-2025;Ene 25;Incumplimiento de garantía;EL PUNTO MAYORISTA;Almacén por departamentos;No se Registro;Bicicleta;85.59;Desistimiento/Devolución;85.59;11-ago-2025;Ago 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;28-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Hisense;Refrigeradora;502.87;Pendiente constancia desistimiento;;21-may-2025;May 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;30-ene-2025;Ene 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;19.90;Desistimiento;;17-jun-2025;Jun 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;02-ene-2025;Ene 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;No se Registro;No se Registro;287.83;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;03-ene-2025;Ene 25;Incumplimiento de garantía;CELL PLUS WESTLAND MALL;Celulares;Samsung;Celular;300.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;06-ene-2025;Ene 25;Incumplimiento de servicio;BOOM OUTLET;Almacén por departamentos;No se Registro;No se Registro;64.20;Desistimiento;;24-ene-2025;Ene 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;06-ene-2025;Ene 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;No se Registro;No se Registro;549.98;Pendiente constancia desistimiento;;07-abr-2025;Abr 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;06-ene-2025;Ene 25;Incumplimiento de garantía;TITAN PANAMÁ;Almacén por departamentos;No se Registro;Estufa;288.89;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;13-ene-2025;Ene 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;No se Registro;Lavadora;776.39;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;14-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Comunicaciones / internet;No se Registro;No se Registro;46.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;15-ene-2025;Ene 25;Falta de información;JUMBO MARKET, S.A.;Supermercados;No se Registro;No se Registro;3.59;Acuerdo en audiencia/Devolución de dinero;3.59;30-jul-2025;Jul 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;16-ene-2025;Ene 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;20.00;Desistimiento;;09-jun-2025;Jun 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-ene-2025;Ene 25;Incumplimiento de contrato;SERVICIOS FUNERARIOS MI REDENTOR;Funerarias;No se Registro;No se Registro;850.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;21-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Almacén por departamentos;No se Registro;Refrigeradora;417.26;Pendiente constancia desistimiento;;21-may-2025;May 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;21-ene-2025;Ene 25;Incumplimiento de garantía;DO IT CENTER;Almacén por departamentos;No se Registro;Refrigeradora;427.99;Desistimiento;;12-ago-2025;Ago 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;23-ene-2025;Ene 25;Incumplimiento de servicio;OPTICA SOSA Y ARANGO;Opticas;No se Registro;No se Registro;250.81;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;23-ene-2025;Ene 25;Incumplimiento de servicio;AIRBOX;Transporte (fletes, encomiendas y similares);No se Registro;No se Registro;356.85;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;28-ene-2025;Ene 25;Incumplimiento de garantía;SENDEROS DE ARRAIJAN, S.A.;Inmobiliarias;No se Registro;No se Registro;4,911.78;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;28-feb-2025;Feb 25;Incumplimiento de garantía;NETSER GROUP;Repuestos y reparaciones (talleres varios no autos);No se Registro;No se Registro;430.28;Desistimiento;;16-abr-2025;Abr 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;03-feb-2025;Feb 25;Incumplimiento de servicio;GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Chevrolet;Automóvil;834.43;Desistimiento;;29-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;03-feb-2025;Feb 25;Incumplimiento de garantía;AUTO GLOBAL PARTS;Repuestos para autos;KIA;Automóvil;208.65;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;03-feb-2025;Feb 25;Falta de información;PANAMÁ EMPRESARIAL S.A.;Venta de autos usados;JEEP;Automóvil;10,125.00;Desistimiento;;04-abr-2025;Abr 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;03-feb-2025;Feb 25;Incumplimiento de garantía;TECNOSERVICIOS HIDROMÁTICOS PTY;Taller de reparación de autos;Mazda;Automóvil;3,638.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;05-feb-2025;Feb 25;Incumplimiento de servicio;MARKETING INNOVATION;Taller de reparación de autos;Mercedez Benz;Automóvil;2,900.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;05-feb-2025;Feb 25;Custodia de bien;AIRE SPARKS;Taller de reparación de autos;Nissan;Automóvil;1,318.13;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;05-feb-2025;Feb 25;Incumplimiento de garantía;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Automóvil;29,889.01;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-feb-2025;Feb 25;Incumplimiento de garantía;PANAMOTOR;Agencia de autos;Nissan;Automóvil;16,500.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-feb-2025;Feb 25;Falta de información;FAT CAR;Venta de autos usados;KIA;Automóvil;4,000.00;Desistimiento;;29-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-feb-2025;Feb 25;Incumplimiento de garantía;GRUPO AUTO COMERCIAL, S.A.;Agencia de autos;GAC;Automóvil;22,950.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-feb-2025;Feb 25;Incumplimiento de garantía;MULTISERVICIOS SERVICIOS YS;Taller de reparación de autos;Hyundai;Automóvil;150.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-feb-2025;Feb 25;Incumplimiento de garantía;GRUPO SILABA;Agencia de autos;Chevrolet;Automóvil;20,515.50;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;10-feb-2025;Feb 25;Incumplimiento de servicio;LA CASA DE LAS BATERIAS;Repuestos para autos;Nissan;Automóvil;1,033.24;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;10-feb-2025;Feb 25;Falta de información;RAENCO;Repuestos para autos;Mazda;Automóvil;128.40;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-feb-2025;Feb 25;Incumplimiento de garantía;DONGFENG;Agencia de autos;Dongfeng;Automóvil;25,000.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-feb-2025;Feb 25;Falta de información;MULTIPIEZAS INTERNACIONAL, S.A.;Repuestos para autos;Renault;Automóvil;260.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-feb-2025;Feb 25;Incumplimiento de garantía;GRUPO SILABA / GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Chevrolet;Automóvil;18,495.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-feb-2025;Feb 25;Incumplimiento de servicio;COOLMECANIK AND SERVICES;Taller de reparación de autos;Nissan;Automóvil;765.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;13-feb-2025;Feb 25;Falta de información;SPARKS MOTOR SERVICE;Taller de reparación de autos;Hyundai;Automóvil;645.65;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;13-feb-2025;Feb 25;Incumplimiento de contrato;AUTO TODO PTY;Taller de reparación de autos;Hyundai;Automóvil;220.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;14-feb-2025;Feb 25;Falta de información;AUTO PARABRISAS PANAMA, S.A.;Taller de reparación de autos;Ford;Automóvil;342.40;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;14-feb-2025;Feb 25;Incumplimiento de garantía;RICARDO PEREZ, S.A.;Agencia de autos;Toyota;Automóvil;8,695.00;Desistimiento;;06-jun-2025;Jun 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;14-feb-2025;Feb 25;Incumplimiento de garantía;MOTORES JAPONESES;Agencia de autos;Suzuki;Automóvil;22,990.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-feb-2025;Feb 25;Incumplimiento de garantía;MOVILIDAD INTERNACIONAL S.A.;Agencia de motos;No se Registro;Automóvil;3,200.00;Desistimiento;;10-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-feb-2025;Feb 25;Incumplimiento de garantía;GRUPO SILABA;Agencia de motos;Niu;Moto;4,691.95;Acuerdo en audiencia/Varios;;06-nov-2025;Nov 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;19-feb-2025;Feb 25;Incumplimiento de garantía;TALLER JK;Venta de autos usados;Ford;Automóvil;9,000.00;Pendiente constancia desistimiento;;08-oct-2025;Oct 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;19-feb-2025;Feb 25;Incumplimiento de garantía;AUTOS PRITY 507;Venta de autos usados;Toyota;Automóvil;13,200.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;19-feb-2025;Feb 25;Incumplimiento de garantía;PETROAUTOS, S.A.;Agencia de autos;Jetour;Automóvil;23,300.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-feb-2025;Feb 25;Falta de información;RTR MOTOR SPORTS, S.A.;Agencia de motos;No se Registro;Moto;3,957.00;Desistimiento;;09-jun-2025;Jun 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;27-feb-2025;Feb 25;Incumplimiento de garantía;PTY CAR CENTER;Venta de autos usados;Mazda;Automóvil;8,993.86;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;27-feb-2025;Feb 25;Falta de información;PANAMOTOR;Agencia de autos;Nissan;Automóvil;109.02;Acuerdo en audiencia/Devolución de dinero;109.02;07-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-feb-2025;Feb 25;Incumplimiento de garantía;ISMERSA;Taller de reparación de autos;No se Registro;Automóvil;1,501.75;En proceso;;;;;2025
Veracidad;Panamá;Ley 45 de 2007;13-feb-2025;Feb 25;Veracidad de la publicidad;YC YACHTS (YC INVESTMENTS, S.A.);Servicios Profesionales;No se Registro;No se Registro;3,350.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Incumplimiento de servicio;ANCON SOLAR;Servicios Profesionales;No se Registro;Panel solar;4,110.00;Desistimiento;;11-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Venta engañosa;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Aire acondicionado;633.60;Resoluciones/Varios;;25-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Vicio oculto;TOOLS CENTER M8, S.A.;Electrodomésticos/equipos electrónicos;No se Registro;Maquina cortagrama;165.84;Acuerdo en audiencia/Varios;;01-jul-2025;Jul 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Telefonia;No se Registro;No se Registro;36.00;Caducidad de la instancia;;09-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Estufa;1,086.00;Resoluciones/Varios;;25-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;31.00;Acuerdo en audiencia/Varios;;28-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Samsung;Secadora;465.00;Desistimiento;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;04-feb-2025;Feb 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;Hisense;Refrigeradora;489.95;Resolución/Reemplazo;;21-ago-2025;Ago 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;05-feb-2025;Feb 25;Incumplimiento de garantía;EL MACHETAZO;Almacén por departamentos;Premier;Lavadora;192.43;Pendiente constancia desistimiento;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;TOOLS CENTER PANAMA, S.A.;Electrodomésticos/equipos electrónicos;No se Registro;Maquina cortagrama;171.19;Acuerdo en audiencia/Varios;;20-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;05-feb-2025;Feb 25;Incumplimiento de garantía;MAC STORE CORP;Opticas;No se Registro;Lentes;196.88;Desistimiento;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;DRAGON CELL;Celulares;Samsung;Celular;90.00;Desistimiento;;16-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-feb-2025;Feb 25;Custodia de bien;IBERIA PANAMÁ;Líneas aéreas;No se Registro;Maleta de viaje;582.00;Resoluciones/Varios;;23-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;MUNDO DIGITAL INTL, S.A.;Repuestos y reparaciones (talleres varios no autos);No se Registro;Lavadora;132.44;Desistimiento/Devolución;132.44;28-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;RODELAG;Almacén por departamentos;No se Registro;No se Registro;595.97;Desistimiento;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;11-feb-2025;Feb 25;Cobro indebido;WINGO;Agencias de viajes;No se Registro;No se Registro;138.58;Acuerdo/Devolución;138.58;17-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;11-feb-2025;Feb 25;Incumplimiento de servicio;IBERIA WEB, S.A.;Líneas aéreas;No se Registro;No se Registro;3,935.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;07-feb-2025;Feb 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;26.00;Desistimiento;;10-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;TITAN PANAMÁ;Almacén por departamentos;Lenovo;Computadora;413.08;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-feb-2025;Feb 25;Cobro indebido;EMI PANAMA, S.A.;Servicios de ambulancias;No se Registro;No se Registro;96.33;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-feb-2025;Feb 25;Falta de información;ADMINISTRADORA DE CEMENTERIOS, S.A. ( ADC);Funerarias;No se Registro;No se Registro;572.45;Transacción extrajudicial;;14-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;10-feb-2025;Feb 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;Sankey;Aire acondicionado;569.00;Acuerdo en audiencia/Varios;;17-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;11-feb-2025;Feb 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Lavadora;593.85;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;20-feb-2025;Feb 25;Falta de información;TECNI PANAMA;Servicios Profesionales;No se Registro;No se Registro;80.00;En proceso;;;;;2025
